rev,phase,step,cycles,mode,atn_level,clk_level,data_level,clk_rise_ticks,clk_fall_ticks,data_rise_ticks,data_fall_ticks,pulse_min_ticks,pulse_max_ticks,turnaround_ticks,turnaround_jitter,iec_state,pending_rx,pending_tx,rx_processed,tx_served,cpu_step_count,cadence_gap_max
1541II,analog_pulse,24,25,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,7,5
1541II,analog_pulse,25,26,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,7,5
1541II,analog_pulse,26,27,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,7,5
1541II,analog_pulse,27,28,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,7,5
1541II,analog_pulse,28,29,2,1000,0,130,0,2,0,2,0,0,0,0,3,0,72,5,0,8,5
1541II,analog_pulse,29,30,2,1000,140,260,0,2,0,2,0,0,0,0,3,0,72,5,0,8,5
1541II,analog_pulse,30,31,2,1000,280,0,0,2,0,2,0,0,0,0,3,0,72,5,0,9,5
1541II,analog_pulse,31,32,2,1000,420,130,0,2,0,2,0,0,0,0,3,0,72,5,0,9,5
1541II,analog_pulse,32,33,2,1000,0,260,0,2,0,2,0,0,0,0,3,0,72,5,0,9,5
1541II,analog_pulse,33,34,2,1000,140,390,0,2,0,2,0,0,0,0,3,0,72,5,0,9,5
1541II,analog_pulse,34,35,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,9,5
1541II,analog_pulse,35,36,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,9,5
1541II,analog_pulse,36,37,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,10,5
1541II,analog_pulse,37,38,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,10,5
1541II,analog_pulse,38,39,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,10,5
1541II,analog_pulse,39,40,2,1000,140,130,0,2,0,2,0,0,0,0,3,0,72,5,0,10,5
1541II,analog_pulse,40,41,2,1000,280,260,0,2,0,2,0,0,0,0,3,0,72,5,0,11,5
1541II,analog_pulse,41,42,2,1000,420,390,0,2,0,2,0,0,0,0,3,0,72,5,0,11,5
1541II,analog_pulse,42,43,2,1000,560,520,0,2,0,2,0,0,0,0,3,0,72,5,0,12,5
1541II,analog_pulse,43,44,2,1000,700,650,0,2,0,2,0,0,0,0,3,0,72,5,0,12,5
1541II,analog_pulse,44,45,2,1000,90,0,0,2,0,2,0,0,0,0,3,0,72,5,0,12,5
1541II,analog_pulse,45,46,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,12,5
1541II,analog_pulse,46,47,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,12,5
1541II,analog_pulse,47,48,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,12,5
1541II,analog_pulse,48,49,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,13,5
1541II,analog_pulse,49,50,2,1000,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,13,5
1541II,analog_pulse,50,51,2,1000,0,130,0,2,0,2,0,0,0,0,3,0,72,5,0,14,5
1541II,analog_pulse,51,52,2,480,0,0,0,2,0,2,0,0,0,0,3,0,72,5,0,14,5
1541II,analog_pulse,52,53,2,660,140,0,0,2,0,2,0,0,0,0,3,0,72,5,0,14,5
1541II,analog_pulse,53,54,2,840,280,130,0,2,0,2,0,0,0,0,3,0,72,5,0,14,5
1541II,analog_pulse,54,55,2,1000,420,260,0,2,0,2,0,0,0,0,3,0,72,5,0,14,5
1541II,analog_pulse,55,56,2,1000,560,390,0,2,0,2,0,0,0,0,3,0,72,5,0,14,5
1541II,analog_pulse,56,57,1,1000,0,0,0,2,0,2,0,0,0,0,2,0,72,6,0,15,5
1541II,analog_pulse,57,58,1,1000,0,0,0,2,0,2,0,0,0,0,2,0,72,6,0,15,5
1541II,analog_pulse,58,59,1,1000,0,0,0,2,0,2,0,0,0,0,2,0,72,6,0,15,5
1541II,analog_pulse,59,60,1,1000,0,0,0,2,0,2,0,0,0,0,2,0,72,6,0,15,5
1541II,analog_pulse,60,61,1,1000,0,0,0,2,0,2,0,0,0,0,2,0,72,6,0,16,5
1541II,analog_pulse,61,62,1,1000,140,130,0,2,0,2,0,0,0,0,2,0,72,6,0,16,5
1541II,analog_pulse,62,63,1,1000,0,260,0,2,0,2,0,0,0,0,2,0,72,6,0,17,5
1541II,analog_pulse,63,64,1,1000,0,390,0,2,0,2,0,0,0,0,2,0,72,6,0,17,5
1541II,analog_pulse,64,65,1,480,140,520,0,2,0,2,0,0,0,0,2,0,72,6,0,17,5
1541II,analog_pulse,65,66,1,660,280,0,0,2,0,2,0,0,0,0,2,0,72,6,0,17,5
1541II,analog_pulse,66,67,1,840,420,0,0,2,0,2,0,0,0,0,2,0,72,6,0,17,5
1541II,analog_pulse,67,68,0,1000,0,0,0,2,0,2,0,0,0,0,0,0,72,6,0,17,5
1541II,analog_pulse,68,69,0,1000,0,0,0,2,0,2,0,0,0,0,0,0,72,6,0,18,5
1541II,analog_pulse,69,70,0,1000,0,0,0,2,0,2,0,0,0,0,0,0,72,6,0,18,5
1541II,analog_pulse,70,71,0,1000,0,0,0,2,0,2,0,0,0,0,0,0,72,6,0,19,5
1541II,analog_pulse,71,72,0,1000,0,0,0,2,0,2,0,0,0,0,0,0,72,6,0,19,5
1541II,analog_pulse,72,73,0,1000,140,0,0,2,0,2,0,0,0,0,0,0,72,6,0,19,5
1541II,analog_pulse,73,74,0,1000,280,0,0,2,0,2,0,0,0,0,0,0,72,6,0,19,5
1541II,analog_pulse,74,75,0,1000,0,130,0,2,0,2,0,0,0,0,0,0,72,6,0,19,5
1541II,analog_pulse,75,76,0,1000,0,260,0,2,0,2,0,0,0,0,0,0,72,6,0,19,5
1541II,analog_pulse,76,77,0,1000,140,390,0,2,0,2,0,0,0,0,0,0,72,6,0,20,5
1541II,analog_pulse,77,78,0,480,280,520,0,2,0,2,0,0,0,0,0,0,72,6,0,20,5
1541II,analog_pulse,78,79,0,660,0,0,0,2,0,2,0,0,0,0,0,0,72,6,0,20,5
1541II,analog_pulse,79,80,0,840,0,0,0,2,0,2,0,0,0,0,0,0,72,6,0,20,5
1541II,analog_pulse,80,81,0,1000,0,0,0,2,0,2,0,0,0,0,0,0,72,6,0,21,5
1541II,analog_pulse,81,82,0,1000,0,0,0,2,0,2,0,0,0,0,0,0,72,6,0,21,5
1541II,analog_pulse,82,83,0,1000,0,0,0,2,0,2,0,0,0,0,0,0,72,6,0,22,5
1541II,analog_pulse,83,84,0,1000,140,130,0,2,0,2,0,0,0,0,0,0,72,6,0,22,5
