rev,phase,rotation_tick,scenario,shift_phase,expected_shift_parity,timer_irq,handshake_active,iec_clk,iec_data,iec_atn,w69_via_shift_phase_mismatch_rows,w69_via_timer_irq_jitter_max,w69_handshake_stall_rows,shift_bits_remaining,via_ifr,via_ier,shift_edge_count,iec_rx_processed,iec_tx_served
1541C,via_stress,39,1,1,1,0,1,1,1,1,0,8,0,1,0,68,39,0,0
1541C,via_stress,40,1,0,0,0,0,0,1,0,0,8,0,0,4,68,40,0,0
1541C,via_stress,41,1,1,1,0,1,1,1,0,0,8,0,7,0,68,41,0,0
1541C,via_stress,42,1,0,0,0,0,1,0,0,0,8,0,6,0,68,42,0,0
1541C,via_stress,43,1,1,1,0,1,1,1,0,0,8,0,5,0,68,43,0,0
1541C,via_stress,44,1,0,0,0,0,0,1,0,0,8,0,4,0,68,44,0,0
1541C,via_stress,45,1,1,1,0,1,1,1,0,0,8,0,3,0,68,45,0,0
1541C,via_stress,46,1,0,0,0,0,1,1,1,0,8,0,2,0,68,46,0,0
1541C,via_stress,47,1,1,1,0,1,1,0,0,0,8,0,1,0,68,47,0,0
1541C,via_stress,48,1,0,0,1,0,0,1,0,0,10,0,0,4,68,48,0,0
1541C,via_stress,49,1,1,1,0,1,1,1,0,0,10,0,7,0,68,49,0,0
1541C,via_stress,50,1,0,0,0,0,1,1,0,0,10,0,6,0,68,50,0,0
1541C,via_stress,51,1,1,1,0,1,1,1,0,0,10,0,5,0,68,51,0,0
1541C,via_stress,52,1,0,0,0,0,0,0,0,0,10,0,4,0,68,52,0,0
1541C,via_stress,53,1,1,1,0,1,1,1,1,0,10,0,3,0,68,53,0,0
1541C,via_stress,54,1,0,0,0,0,1,1,0,0,10,0,2,0,68,54,0,0
1541C,via_stress,55,1,1,1,0,1,1,1,0,0,10,0,1,0,68,55,0,0
1541C,via_stress,56,1,0,0,0,0,0,1,0,0,10,0,0,4,68,56,0,0
1541C,via_stress,57,1,1,1,0,1,1,0,0,0,10,0,7,0,68,57,0,0
1541C,via_stress,58,1,0,0,1,0,1,1,0,0,10,0,6,0,68,58,0,0
1541C,via_stress,59,1,1,1,0,1,1,1,0,0,10,0,5,0,68,59,0,0
1541C,via_stress,60,1,0,0,0,0,0,1,1,0,10,0,4,0,68,60,0,0
1541C,via_stress,61,1,1,1,0,1,1,1,0,0,10,0,3,0,68,61,0,0
1541C,via_stress,62,1,0,0,0,0,1,0,0,0,10,0,2,0,68,62,0,0
1541C,via_stress,63,1,1,1,0,1,1,1,0,0,10,0,1,0,68,63,0,0
1541C,via_stress,64,1,0,0,0,0,0,1,0,0,10,0,0,4,68,64,0,0
1541C,via_stress,65,2,1,1,0,1,1,1,0,0,10,0,7,0,68,65,0,0
1541C,via_stress,66,2,0,0,0,0,1,1,0,0,10,0,6,0,68,66,0,0
1541C,via_stress,67,2,1,1,0,1,0,1,0,0,10,0,5,0,68,67,0,0
1541C,via_stress,68,2,0,0,0,0,1,0,0,0,10,0,4,0,68,68,0,0
1541C,via_stress,69,2,1,1,1,1,1,1,0,0,11,0,3,0,68,69,0,0
1541C,via_stress,70,2,0,0,0,0,1,1,1,0,11,0,2,0,68,70,0,0
1541C,via_stress,71,2,1,1,0,1,0,1,0,0,11,0,1,0,68,71,0,0
1541C,via_stress,72,2,0,0,0,0,1,1,0,0,11,0,0,4,68,72,0,0
1541C,via_stress,73,2,1,1,0,1,1,0,0,0,11,0,7,0,68,73,0,0
1541C,via_stress,74,2,0,0,1,0,1,1,0,0,11,0,6,0,68,74,0,0
1541C,via_stress,75,2,1,1,0,1,0,1,0,0,11,0,5,0,68,75,0,0
1541C,via_stress,76,2,0,0,0,0,1,1,0,0,11,0,4,0,68,76,0,0
1541C,via_stress,77,2,1,1,0,1,1,1,1,0,11,0,3,0,68,77,0,0
1541C,via_stress,78,2,0,0,0,0,1,0,0,0,11,0,2,0,68,78,0,0
1541C,via_stress,79,2,1,1,1,1,0,1,0,0,11,0,1,0,68,79,0,0
1541C,via_stress,80,2,0,0,0,0,1,1,0,0,11,0,0,4,68,80,0,0
1541C,via_stress,81,2,1,1,0,1,1,1,0,0,11,0,7,0,68,81,0,0
1541C,via_stress,82,2,0,0,0,0,1,1,0,0,11,0,6,0,68,82,0,0
1541C,via_stress,83,2,1,1,0,1,0,0,0,0,11,0,5,0,68,83,0,0
1541C,via_stress,84,2,0,0,1,0,1,1,1,0,11,0,4,0,68,84,0,0
1541C,via_stress,85,2,1,1,0,1,1,1,0,0,11,0,3,0,68,85,0,0
1541C,via_stress,86,2,0,0,0,0,1,1,0,0,11,0,2,0,68,86,0,0
1541C,via_stress,87,2,1,1,0,1,0,1,0,0,11,0,1,0,68,87,0,0
1541C,via_stress,88,2,0,0,0,0,1,0,0,0,11,0,0,4,68,88,0,0
1541C,via_stress,89,2,1,1,1,1,1,1,0,0,11,0,7,0,68,89,0,0
1541C,via_stress,90,2,0,0,0,0,1,1,0,0,11,0,6,0,68,90,0,0
1541C,via_stress,91,2,1,1,0,1,0,1,1,0,11,0,5,0,68,91,0,0
1541C,via_stress,92,2,0,0,0,0,1,1,0,0,11,0,4,0,68,92,0,0
1541C,via_stress,93,2,1,1,0,1,1,0,0,0,11,0,3,0,68,93,0,0
1541C,via_stress,94,2,0,0,1,0,1,1,0,0,11,0,2,0,68,94,0,0
1541C,via_stress,95,2,1,1,0,1,0,1,0,0,11,0,1,0,68,95,0,0
1541C,via_stress,96,2,0,0,0,0,1,1,0,0,11,0,0,4,68,96,0,0
1541II,via_stress,1,0,1,1,0,1,0,0,1,0,0,0,7,0,68,1,0,0
1541II,via_stress,2,0,0,0,0,0,1,1,0,0,0,0,6,0,68,2,0,0
1541II,via_stress,3,0,1,1,0,1,1,1,0,0,0,0,5,0,68,3,0,0
1541II,via_stress,4,0,0,0,0,0,1,1,0,0,0,0,4,0,68,4,0,0
1541II,via_stress,5,0,1,1,1,1,0,1,0,0,0,0,3,0,68,5,0,0
1541II,via_stress,6,0,0,0,0,0,1,0,0,0,0,0,2,0,68,6,0,0
1541II,via_stress,7,0,1,1,0,1,1,1,0,0,0,0,1,0,68,7,0,0
1541II,via_stress,8,0,0,0,0,0,1,1,1,0,0,0,0,4,68,8,0,0
1541II,via_stress,9,0,1,1,0,1,0,1,0,0,0,0,7,0,68,9,0,0
1541II,via_stress,10,0,0,0,1,0,1,1,0,0,5,0,6,0,68,10,0,0
1541II,via_stress,11,0,1,1,0,1,1,0,0,0,5,0,5,0,68,11,0,0
1541II,via_stress,12,0,0,0,0,0,1,1,0,0,5,0,4,0,68,12,0,0
1541II,via_stress,13,0,1,1,0,1,0,1,0,0,5,0,3,0,68,13,0,0
1541II,via_stress,14,0,0,0,0,0,1,1,0,0,5,0,2,0,68,14,0,0
1541II,via_stress,15,0,1,1,1,1,1,1,1,0,5,0,1,0,68,15,0,0
1541II,via_stress,16,0,0,0,0,0,1,0,0,0,5,0,0,4,68,16,0,0
1541II,via_stress,17,0,1,1,0,1,0,1,0,0,5,0,7,0,68,17,0,0
1541II,via_stress,18,0,0,0,0,0,1,1,0,0,5,0,6,0,68,18,0,0
1541II,via_stress,19,0,1,1,0,1,1,1,0,0,5,0,5,0,68,19,0,0
1541II,via_stress,20,0,0,0,1,0,1,1,0,0,5,0,4,0,68,20,0,0
1541II,via_stress,21,0,1,1,0,1,0,0,0,0,5,0,3,0,68,21,0,0
1541II,via_stress,22,0,0,0,0,0,1,1,1,0,5,0,2,0,68,22,0,0
1541II,via_stress,23,0,1,1,0,1,1,1,0,0,5,0,1,0,68,23,0,0
1541II,via_stress,24,0,0,0,0,0,1,1,0,0,5,0,0,4,68,24,0,0
1541II,via_stress,25,0,1,1,1,1,0,1,0,0,5,0,7,0,68,25,0,0
1541II,via_stress,26,0,0,0,0,0,1,0,0,0,5,0,6,0,68,26,0,0
1541II,via_stress,27,0,1,1,0,1,1,1,0,0,5,0,5,0,68,27,0,0
1541II,via_stress,28,0,0,0,0,0,1,1,0,0,5,0,4,0,68,28,0,0
1541II,via_stress,29,0,1,1,0,1,0,1,1,0,5,0,3,0,68,29,0,0
1541II,via_stress,30,0,0,0,1,0,1,1,0,0,5,0,2,0,68,30,0,0
1541II,via_stress,31,0,1,1,0,1,1,0,0,0,5,0,1,0,68,31,0,0
1541II,via_stress,32,0,0,0,0,0,1,1,0,0,5,0,0,4,68,32,0,0
1541II,via_stress,33,1,1,1,0,1,1,1,0,0,5,0,7,0,68,33,0,0
1541II,via_stress,34,1,0,0,0,0,1,1,0,0,5,0,6,0,68,34,0,0
1541II,via_stress,35,1,1,1,0,1,1,1,0,0,5,0,5,0,68,35,0,0
1541II,via_stress,36,1,0,0,0,0,0,1,0,0,5,0,4,0,68,36,0,0
1541II,via_stress,37,1,1,1,0,1,1,0,0,0,5,0,3,0,68,37,0,0
1541II,via_stress,38,1,0,0,1,0,1,1,0,0,8,0,2,0,68,38,0,0
1541II,via_stress,39,1,1,1,0,1,1,1,1,0,8,0,1,0,68,39,0,0
1541II,via_stress,40,1,0,0,0,0,0,1,0,0,8,0,0,4,68,40,0,0
1541II,via_stress,41,1,1,1,0,1,1,1,0,0,8,0,7,0,68,41,0,0
1541II,via_stress,42,1,0,0,0,0,1,0,0,0,8,0,6,0,68,42,0,0
1541II,via_stress,43,1,1,1,0,1,1,1,0,0,8,0,5,0,68,43,0,0
1541II,via_stress,44,1,0,0,0,0,0,1,0,0,8,0,4,0,68,44,0,0
1541II,via_stress,45,1,1,1,0,1,1,1,0,0,8,0,3,0,68,45,0,0
1541II,via_stress,46,1,0,0,0,0,1,1,1,0,8,0,2,0,68,46,0,0
1541II,via_stress,47,1,1,1,0,1,1,0,0,0,8,0,1,0,68,47,0,0
1541II,via_stress,48,1,0,0,1,0,0,1,0,0,10,0,0,4,68,48,0,0
1541II,via_stress,49,1,1,1,0,1,1,1,0,0,10,0,7,0,68,49,0,0
1541II,via_stress,50,1,0,0,0,0,1,1,0,0,10,0,6,0,68,50,0,0
1541II,via_stress,51,1,1,1,0,1,1,1,0,0,10,0,5,0,68,51,0,0
1541II,via_stress,52,1,0,0,0,0,0,0,0,0,10,0,4,0,68,52,0,0
1541II,via_stress,53,1,1,1,0,1,1,1,1,0,10,0,3,0,68,53,0,0
1541II,via_stress,54,1,0,0,0,0,1,1,0,0,10,0,2,0,68,54,0,0
1541II,via_stress,55,1,1,1,0,1,1,1,0,0,10,0,1,0,68,55,0,0
1541II,via_stress,56,1,0,0,0,0,0,1,0,0,10,0,0,4,68,56,0,0
1541II,via_stress,57,1,1,1,0,1,1,0,0,0,10,0,7,0,68,57,0,0
1541II,via_stress,58,1,0,0,1,0,1,1,0,0,10,0,6,0,68,58,0,0
1541II,via_stress,59,1,1,1,0,1,1,1,0,0,10,0,5,0,68,59,0,0
1541II,via_stress,60,1,0,0,0,0,0,1,1,0,10,0,4,0,68,60,0,0
1541II,via_stress,61,1,1,1,0,1,1,1,0,0,10,0,3,0,68,61,0,0
1541II,via_stress,62,1,0,0,0,0,1,0,0,0,10,0,2,0,68,62,0,0
1541II,via_stress,63,1,1,1,0,1,1,1,0,0,10,0,1,0,68,63,0,0
1541II,via_stress,64,1,0,0,0,0,0,1,0,0,10,0,0,4,68,64,0,0
1541II,via_stress,65,2,1,1,0,1,1,1,0,0,10,0,7,0,68,65,0,0
1541II,via_stress,66,2,0,0,0,0,1,1,0,0,10,0,6,0,68,66,0,0
1541II,via_stress,67,2,1,1,0,1,0,1,0,0,10,0,5,0,68,67,0,0
1541II,via_stress,68,2,0,0,0,0,1,0,0,0,10,0,4,0,68,68,0,0
1541II,via_stress,69,2,1,1,1,1,1,1,0,0,11,0,3,0,68,69,0,0
1541II,via_stress,70,2,0,0,0,0,1,1,1,0,11,0,2,0,68,70,0,0
1541II,via_stress,71,2,1,1,0,1,0,1,0,0,11,0,1,0,68,71,0,0
1541II,via_stress,72,2,0,0,0,0,1,1,0,0,11,0,0,4,68,72,0,0
1541II,via_stress,73,2,1,1,0,1,1,0,0,0,11,0,7,0,68,73,0,0
1541II,via_stress,74,2,0,0,1,0,1,1,0,0,11,0,6,0,68,74,0,0
1541II,via_stress,75,2,1,1,0,1,0,1,0,0,11,0,5,0,68,75,0,0
1541II,via_stress,76,2,0,0,0,0,1,1,0,0,11,0,4,0,68,76,0,0
1541II,via_stress,77,2,1,1,0,1,1,1,1,0,11,0,3,0,68,77,0,0
1541II,via_stress,78,2,0,0,0,0,1,0,0,0,11,0,2,0,68,78,0,0
1541II,via_stress,79,2,1,1,1,1,0,1,0,0,11,0,1,0,68,79,0,0
1541II,via_stress,80,2,0,0,0,0,1,1,0,0,11,0,0,4,68,80,0,0
1541II,via_stress,81,2,1,1,0,1,1,1,0,0,11,0,7,0,68,81,0,0
1541II,via_stress,82,2,0,0,0,0,1,1,0,0,11,0,6,0,68,82,0,0
1541II,via_stress,83,2,1,1,0,1,0,0,0,0,11,0,5,0,68,83,0,0
1541II,via_stress,84,2,0,0,1,0,1,1,1,0,11,0,4,0,68,84,0,0
1541II,via_stress,85,2,1,1,0,1,1,1,0,0,11,0,3,0,68,85,0,0
1541II,via_stress,86,2,0,0,0,0,1,1,0,0,11,0,2,0,68,86,0,0
1541II,via_stress,87,2,1,1,0,1,0,1,0,0,11,0,1,0,68,87,0,0
1541II,via_stress,88,2,0,0,0,0,1,0,0,0,11,0,0,4,68,88,0,0
1541II,via_stress,89,2,1,1,1,1,1,1,0,0,11,0,7,0,68,89,0,0
1541II,via_stress,90,2,0,0,0,0,1,1,0,0,11,0,6,0,68,90,0,0
1541II,via_stress,91,2,1,1,0,1,0,1,1,0,11,0,5,0,68,91,0,0
1541II,via_stress,92,2,0,0,0,0,1,1,0,0,11,0,4,0,68,92,0,0
1541II,via_stress,93,2,1,1,0,1,1,0,0,0,11,0,3,0,68,93,0,0
1541II,via_stress,94,2,0,0,1,0,1,1,0,0,11,0,2,0,68,94,0,0
1541II,via_stress,95,2,1,1,0,1,0,1,0,0,11,0,1,0,68,95,0,0
1541II,via_stress,96,2,0,0,0,0,1,1,0,0,11,0,0,4,68,96,0,0
