rev,phase,step,cycles,cpu_step_count,pc,cpu_last_opcode,via_access,iec_edge_count,pending_via_to_iec_latency,last_via_to_iec_latency,phase_bucket,iec_state,atn,clk,data,pull_clk,pull_data,pending_rx,pending_tx,rx_processed,tx_served,cpu_advanced,cadence_gap_max
1541,phase_map,56,57,8,49162,32,2,1,-1,0,2,3,1,1,1,0,0,0,0,4,2,0,11
1541,phase_map,57,58,8,49162,32,0,1,-1,0,2,3,1,1,0,0,0,0,0,4,2,0,11
1541,phase_map,58,59,8,49162,32,0,2,-1,0,2,3,1,0,1,0,0,0,0,4,2,0,11
1541,phase_map,59,60,8,49162,32,0,1,-1,0,2,3,1,1,1,0,0,0,0,4,2,0,11
1541,phase_map,60,61,9,49164,162,1,2,-1,0,2,3,1,1,1,1,1,0,0,4,2,1,11
1541,phase_map,61,62,9,49164,162,0,1,-1,0,2,3,1,1,0,1,1,0,0,4,2,0,11
1541,phase_map,62,63,9,49164,162,2,3,-1,0,2,3,1,1,1,0,0,0,0,4,2,0,11
1541,phase_map,63,64,9,49164,162,0,2,-1,0,1,1,0,0,1,0,0,0,0,4,2,0,11
1541C,phase_map,0,1,1,49154,169,1,2,-1,0,0,0,1,1,1,1,1,0,0,0,0,1,0
1541C,phase_map,1,2,1,49154,169,0,1,-1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
1541C,phase_map,2,3,2,49162,32,2,3,-1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
1541C,phase_map,3,4,2,49162,32,0,1,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1541C,phase_map,4,5,2,49162,32,0,1,-1,0,0,0,1,1,1,0,0,0,0,0,0,0,1
1541C,phase_map,5,6,2,49162,32,3,1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1541C,phase_map,6,7,2,49162,32,1,3,-1,0,0,0,1,1,1,1,1,0,0,0,0,0,1
1541C,phase_map,7,8,2,49162,32,0,3,-1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
1541C,phase_map,8,9,3,49164,162,2,2,-1,0,3,2,1,0,1,0,0,0,0,3,0,1,5
1541C,phase_map,9,10,3,49164,162,0,2,-1,0,0,0,1,1,0,0,0,0,67,4,0,0,5
1541C,phase_map,10,11,4,49157,96,0,1,-1,0,0,0,1,1,1,0,0,0,67,4,0,1,5
1541C,phase_map,11,12,4,49157,96,0,0,-1,0,0,0,1,1,1,0,0,0,67,4,0,0,5
1541C,phase_map,12,13,4,49157,96,1,2,-1,0,0,0,1,1,1,1,1,0,67,4,0,0,5
1541C,phase_map,13,14,4,49157,96,0,2,-1,0,0,0,1,0,0,1,1,0,67,4,0,0,5
1541C,phase_map,14,15,4,49157,96,2,4,-1,0,0,0,1,1,1,0,0,0,67,4,0,0,5
1541C,phase_map,15,16,4,49157,96,3,1,-1,0,1,1,0,1,1,0,0,0,67,4,0,0,5
1541C,phase_map,16,17,5,49160,208,0,1,-1,0,0,0,1,1,1,0,0,0,67,4,0,1,5
1541C,phase_map,17,18,5,49160,208,0,1,-1,0,0,0,1,1,0,0,0,0,67,4,0,0,5
1541C,phase_map,18,19,5,49160,208,1,4,-1,0,2,3,1,0,1,1,1,0,68,4,1,0,5
1541C,phase_map,19,20,5,49160,208,0,1,-1,0,2,3,1,1,1,1,1,0,68,4,1,0,5
1541C,phase_map,20,21,6,49152,76,2,1,-1,0,2,3,1,1,1,0,1,0,68,4,1,1,5
1541C,phase_map,21,22,6,49152,76,0,1,-1,0,2,3,1,1,0,0,1,0,68,4,1,0,5
1541C,phase_map,22,23,6,49152,76,0,1,-1,0,2,3,1,1,1,0,1,0,68,4,1,0,5
1541C,phase_map,23,24,6,49152,76,0,1,-1,0,2,3,1,0,1,0,1,0,68,4,1,0,5
1541C,phase_map,24,25,7,49154,169,1,2,-1,0,2,3,1,1,1,1,1,0,68,4,1,1,5
1541C,phase_map,25,26,7,49154,169,3,1,-1,0,2,3,1,1,0,1,1,0,68,4,1,0,5
1541C,phase_map,26,27,8,49162,32,2,2,-1,0,2,3,1,1,1,0,1,0,68,4,1,1,5
1541C,phase_map,27,28,8,49162,32,0,0,-1,0,2,3,1,1,1,0,1,0,68,4,1,0,5
1541C,phase_map,28,29,8,49162,32,0,1,-1,0,2,3,1,0,1,0,1,0,68,4,1,0,5
1541C,phase_map,29,30,8,49162,32,0,2,-1,0,2,3,1,1,0,0,1,0,68,4,1,0,5
1541C,phase_map,30,31,8,49162,32,1,2,-1,0,2,3,1,1,1,1,1,0,68,4,1,0,5
1541C,phase_map,31,32,8,49162,32,0,3,-1,0,1,1,0,1,1,0,0,0,68,4,1,0,5
1541C,phase_map,32,33,9,49164,162,2,1,-1,0,2,3,1,1,1,0,0,0,68,4,1,1,5
1541C,phase_map,33,34,9,49164,162,0,3,-1,0,2,3,1,0,0,0,1,0,67,4,2,0,5
1541C,phase_map,34,35,10,49157,96,0,2,-1,0,2,3,1,1,1,0,1,0,67,4,2,1,5
1541C,phase_map,35,36,10,49157,96,3,0,1,0,2,3,1,1,1,0,1,0,67,4,2,0,5
1541C,phase_map,36,37,10,49157,96,1,1,-1,0,2,3,1,1,1,1,1,0,67,4,2,0,5
1541C,phase_map,37,38,10,49157,96,0,1,-1,0,2,3,1,1,0,1,1,0,67,4,2,0,5
1541C,phase_map,38,39,10,49157,96,2,3,-1,0,2,3,1,0,1,0,1,0,67,4,2,0,5
1541C,phase_map,39,40,10,49157,96,0,3,-1,0,1,1,0,1,1,0,0,0,67,4,2,0,5
1541C,phase_map,40,41,11,49160,208,0,1,-1,0,2,3,1,1,1,0,0,0,67,4,2,1,5
1541C,phase_map,41,42,11,49160,208,0,1,-1,0,2,3,1,1,0,0,0,0,67,4,2,0,5
1541C,phase_map,42,43,11,49160,208,1,3,-1,0,2,3,1,1,1,1,1,0,67,4,2,0,5
1541C,phase_map,43,44,11,49160,208,0,1,-1,0,2,3,1,0,1,1,1,0,66,4,3,0,5
1541C,phase_map,44,45,12,49152,76,2,2,-1,0,2,3,1,1,1,0,1,0,66,4,3,1,5
1541C,phase_map,45,46,12,49152,76,3,1,-1,0,2,3,1,1,0,0,1,0,66,4,3,0,5
1541C,phase_map,46,47,12,49152,76,0,1,-1,0,2,3,1,1,1,0,1,0,66,4,3,0,5
1541C,phase_map,47,48,12,49152,76,0,0,-1,0,2,3,1,1,1,0,1,0,66,4,3,0,5
1541C,phase_map,48,49,13,49154,169,1,2,-1,0,2,3,1,0,1,1,1,0,66,4,3,1,5
1541C,phase_map,49,50,13,49154,169,0,2,-1,0,2,3,1,1,0,1,1,0,66,4,3,0,5
1541C,phase_map,50,51,14,49162,32,2,3,-1,0,2,3,1,1,1,0,0,0,66,4,3,1,5
